family,genus,species,taxon,group,duration,growth.type,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Nyctaginaceae,Abronia,latifolia,Abronia latifolia,Dicot,Perennial,Herbaceous,87.23171771,122.9882235,41.8967801,5846.498935,255.00115,-35.13101069,290.1321607,23.56050087,157.5231483,164.3510584,16.76904894,1019.292304,163.6741343,20.6139316,58.44861365,463.0260658,81.84045317,92.29575365,430.9505303
Nyctaginaceae,Abronia,maritima,Abronia maritima,Dicot,Perennial,Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctaginaceae,Abronia,pogonantha,Abronia pogonantha,Dicot,Annual,Herbaceous,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Nyctaginaceae,Abronia,umbellata,Abronia umbellata,Dicot,Perennial,Herbaceous,111.9773226,126.8727654,44.10421944,5561.816603,274.3811971,-9.096547731,283.4777448,59.73245519,175.654942,185.5712046,45.4844274,1021.108948,168.3915466,17.0234735,66.49424622,474.5494922,71.2749994,86.51436636,440.741309
Nyctaginaceae,Abronia,villosa,Abronia villosa,Dicot,Annual,Herbaceous,186.5376633,160.3329687,46.04263299,6875.956023,369.2501094,20.922673,348.3274364,206.0590111,218.0593549,275.6679065,101.0077202,275.4145152,57.60883291,3.286303682,65.02091017,139.513565,17.422673,99.68684753,78.0525411
Nyctaginaceae,Allionia,hirsuta,Allionia hirsuta,Dicot,Perennial,Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctaginaceae,Allionia,incarnata,Allionia incarnata,Dicot,Annual/Perennial,Herbaceous,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Nyctaginaceae,Boerhavia,coccinea,Boerhavia coccinea,Dicot,Perennial,Herbaceous,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Nyctaginaceae,Boerhavia,diffusa,Boerhavia diffusa,Dicot,Annual/Perennial,Herbaceous,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Nyctaginaceae,Boerhavia,erecta,Boerhavia erecta,Dicot,Annual/Perennial,Herbaceous,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Nyctaginaceae,Bougainvillea,praecox,Bougainvillea praecox,Dicot,NA,Herbaceous,210.1004244,127.5933553,60.23196931,2945.918319,315.8031974,98.96577183,216.8374256,234.4121852,178.0852785,244.5632424,170.245552,1101.819517,173.4305643,28.70137302,58.81569398,469.258466,102.6481913,365.0727694,126.9539565
Phytolaccaceae,Gallesia,integrifolia,Gallesia integrifolia,Dicot,NA,NA,220.9342084,114.4110008,68.46863533,1653.371861,300.3840069,131.9885918,168.3954151,231.3455464,206.4755648,238.5032197,197.4289832,1383.849526,217.2496897,37.66274552,59.83356716,589.7577703,133.7998867,438.4247203,186.8567028
Nyctaginaceae,Guapira,cuspidata,Guapira cuspidata,Dicot,NA,NA,259.4169591,99.42718629,80.28762016,568.6259699,323.0716733,199.4584926,123.6131807,257.0119351,258.9124392,265.7938741,251.498292,2307.361413,326.4106375,71.36905196,48.5138358,898.0054208,257.9003999,443.5604412,620.0483498
Nyctaginaceae,Guapira,discolor,Guapira discolor,Dicot,Perennial,Woody,232.5,95.28125,48.3125,3546.125,321.5,126.96875,194.53125,271.40625,187,274.28125,184.125,1366.09375,204.0625,48.8125,46.125,526.875,170.9375,504.8125,172.53125
Nyctaginaceae,Guapira,opposita,Guapira opposita,Dicot,NA,NA,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Nyctaginaceae,Mirabilis,bigelovii,Mirabilis bigelovii,Dicot,Perennial,Herbaceous,153.6473054,164.5839885,44.25408596,7372.162694,351.7866372,-17.90027529,369.6869125,171.2044096,185.4370427,250.346792,62.61446889,267.4163091,46.25547481,6.006200243,49.66719575,113.7106967,26.72079065,81.23558443,76.63954267
Nyctaginaceae,Mirabilis,californica,Mirabilis californica,Dicot,Perennial,Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctaginaceae,Mirabilis,greenei,Mirabilis greenei,Dicot,Perennial,Herbaceous,127.4099595,158.2258251,46.43312102,6325.955414,326.5616676,-10.81991893,337.3815866,54.28199189,209.9629415,210.3236827,51.47944412,855.865663,158.2582513,4.700057904,76.63462652,433.268674,29.86508396,31.77880718,419.9808917
Nyctaginaceae,Mirabilis,hirsuta,Mirabilis hirsuta,Dicot,Perennial,Herbaceous,75.57251387,129.0790114,30.67718559,10068.56048,284.4033345,-134.1151042,418.5184387,170.8764905,-37.92430217,200.8154548,-59.26820718,744.5517028,95.32836404,33.54806588,38.53231949,262.661126,114.6495957,245.7102577,121.1433204
Nyctaginaceae,Mirabilis,jalapa,Mirabilis jalapa,Dicot,Perennial,Herbaceous,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Nyctaginaceae,Mirabilis,multiflora,Mirabilis multiflora,Dicot,Perennial,Herbaceous,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
NA,Neea,amplifolia,Neea amplifolia,Dicot,NA,Woody,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Nyctaginaceae,Neea,divaricata,Neea divaricata,Dicot,NA,Woody,238.0880269,111.4332427,74.35680188,1035.71259,312.2200045,160.2339233,151.9860812,242.1238331,230.2628768,249.1925821,223.365464,1760.418708,274.0182383,42.01084639,61.9951081,749.1792689,152.4229558,381.8532602,383.5985006
Nyctaginaceae,Neea,floribunda,Neea floribunda,Dicot,NA,Woody,237.3531277,112.0706625,74.56285958,1031.439388,311.7025607,159.0360925,152.6664682,241.3964489,229.2876929,248.4055834,222.7040482,1754.581401,272.2149626,42.19121153,62.07707782,746.5803211,153.2206281,378.3912182,388.8231627
Nyctaginaceae,Neea,hermaphrodita,Neea hermaphrodita,Dicot,NA,Woody,221.8764177,117.6032254,69.99265372,1664.139996,307.5433676,132.5973201,174.9460476,231.6646071,207.7922392,241.0066077,199.1612055,1652.179598,246.8737965,45.31382832,57.8110076,679.8620609,161.7968515,380.3333396,347.4664408
Nyctaginaceae,Neea,krukovii,Neea krukovii,Dicot,NA,Woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctaginaceae,Neea,madeirana,Neea madeirana,Dicot,NA,Woody,263.9099697,96.23218673,79.91880308,434.012633,327.0745511,206.4444189,120.6301322,259.6496793,266.2105527,269.5228518,258.8784097,2263.720934,329.9631637,66.00547907,49.40045648,920.7001146,231.1014562,342.0334879,800.8431045
NA,Neea,obovata,Neea obovata,Dicot,NA,Woody,237.1378387,112.7469386,74.04946745,1066.517051,312.5001234,158.0288752,154.4712482,241.4249715,229.2375606,248.591834,221.9834189,1742.318467,274.5256503,40.78456701,63.41642538,749.3404677,148.0515513,382.3745352,370.59007
Nyctaginaceae,Neea,oppositifolia,Neea oppositifolia,Dicot,NA,Woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctaginaceae,Neea,ovalifolia,Neea ovalifolia,Dicot,NA,Woody,225.5881821,115.3394773,70.0895544,1624.109166,309.8523392,139.0374497,170.8148895,234.5733119,212.4797281,244.2966414,203.3927904,1595.769945,246.6040397,40.7279314,60.41079394,671.9901584,146.5290299,365.5578716,334.2319436
Nyctaginaceae,Neea,psychotrioides,Neea psychotrioides,Dicot,NA,Woody,221.755089,128.4733011,63.56242981,2539.464651,322.3338008,115.1402668,207.193534,241.9202467,205.9946309,250.8701138,186.6365136,1265.872178,233.9167655,20.96141181,76.91130033,607.4895501,78.84617988,360.0146043,178.538875
Nyctaginaceae,Neea,tristis,Neea tristis,Dicot,NA,Woody,258.7328054,100.4970629,82.02066091,447.5229743,318.7380786,196.3498577,122.3882208,258.5198345,255.2918131,263.2443425,252.0435655,2498.727713,304.1863347,103.3866004,34.42646013,859.458055,352.1552938,575.7498162,475.4188179
Phytolaccaceae,Phytolacca,americana,Phytolacca americana,Dicot,Perennial,Herbaceous,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Phytolaccaceae,Phytolacca,dioica,Phytolacca dioica,Dicot,Perennial,Woody,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Phytolaccaceae,Phytolacca,rivinoides,Phytolacca rivinoides,Dicot,Perennial,Herbaceous,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Nyctaginaceae,Pisonia,grandis,Pisonia grandis,Dicot,Perennial,Woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctaginaceae,Pisonia,macranthocarpa,Pisonia macranthocarpa,Dicot,Perennial,Woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctaginaceae,Pisonia,rotundata,Pisonia rotundata,Dicot,Perennial,Woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctaginaceae,Pisonia,subcordata,Pisonia subcordata,Dicot,Perennial,Woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctaginaceae,Pisonia,umbellifera,Pisonia umbellifera,Dicot,Perennial,Woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctaginaceae,Pisonia,zapallo,Pisonia zapallo,Dicot,Perennial,Woody,196.7317341,129.4766424,61.3057983,2690.339689,299.3175983,85.42620463,213.8913937,217.129654,170.4699394,227.6665545,159.915348,1144.658511,180.70018,26.89370011,63.34237848,493.8406003,97.32952432,362.6136037,119.4480972
Nyctaginaceae,Ramisia,brasiliensis,Ramisia brasiliensis,Dicot,NA,NA,222.7929116,107.5770764,66.0040909,1661.351784,299.3707519,137.576728,161.7940239,235.7168284,201.4580151,241.2491609,199.1248492,1087.836555,194.9111165,24.16632707,66.19327817,524.4163364,85.15646994,380.257512,95.65732532
Phytolaccaceae,Rivina,humilis,Rivina humilis,Dicot,Perennial,Herbaceous,142.744952,154.5127461,46.38814572,6374.300269,329.1579169,-5.38709406,334.5450109,90.13435975,199.3716978,227.1335184,65.56141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
Phytolaccaceae,Seguieria,langsdorffii,Seguieria langsdorffii,Dicot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
