"","scrubbed_species_binomial"
"1","Abronia alpina"
"12","Abronia ameliae"
"26","Abronia ammophila"
"29","Abronia angustifolia"
"174","Abronia argillosa"
"185","Abronia bigelovii"
"206","Abronia bolackii"
"212","Abronia carnea"
"240","Abronia crux-maltae"
"297","Abronia elliptica"
"625","Abronia fragrans"
"1233","Abronia gracilis"
"1278","Abronia insularis"
"1280","Abronia latifolia"
"1651","Abronia macrocarpa"
"1660","Abronia maritima"
"1768","Abronia mellifera"
"1875","Abronia micrantha"
"2025","Abronia minor"
"2027","Abronia nana"
"2114","Abronia nealleyi"
"2115","Abronia neurophylla"
"2117","Abronia parviflora"
"2118","Abronia pogonantha"
"2163","Abronia turbinata"
"2251","Abronia umbellata"
"2376","Abronia variabilis"
"2378","Abronia villosa"
"2845","Abronia x"
"2853","Acleisanthes acutifolia"
"2874","Acleisanthes angustifolia"
"2900","Acleisanthes anisophylla"
"2907","Acleisanthes chenopodioides"
"2962","Acleisanthes crassifolia"
"2977","Acleisanthes diffusa"
"3018","Acleisanthes lanceolata"
"3056","Acleisanthes longiflora"
"3211","Acleisanthes nana"
"3217","Acleisanthes nevadensis"
"3244","Acleisanthes nummularia"
"3245","Acleisanthes obtusa"
"3302","Acleisanthes palmeri"
"3309","Acleisanthes parvifolia"
"3321","Acleisanthes purpusiana"
"3331","Acleisanthes undulata"
"3346","Acleisanthes wrightii"
"3358","Agdestis clematidea"
"3468","Allionia cardiophylla"
"3470","Allionia choisyi"
"3566","Allionia ciliata"
"3567","Allionia coahuilensis"
"3571","Allionia comata"
"3572","Allionia decipiens"
"3575","Allionia deltoidea"
"3576","Allionia foliosa"
"3577","Allionia glandulifera"
"3578","Allionia gracillima"
"3583","Allionia greggii"
"3588","Allionia hirsuta"
"3590","Allionia incarnata"
"4385","Allionia lanceolata"
"4387","Allionia mollis"
"4389","Allionia oblongifolia"
"4390","Allionia pachyphylla"
"4393","Allionia pinetorum"
"4396","Allionia subhispida"
"4397","Allionia viscida"
"4398","Allionia viscosa"
"4400","Allioniella oxybaphoides"
"4401","Andradea floribunda"
"4420","Anisomeria chilensis"
"4440","Anisomeria coriacea"
"4449","Anisomeria fruticosa"
"4453","Anulocaulis annulatus"
"4457","Anulocaulis eriosolenus"
"4494","Anulocaulis hintoniorum"
"4499","Anulocaulis leiosolenus"
"4551","Anulocaulis reflexus"
"4559","Belemia fucsioides"
"4563","Boerhaavia diffusa"
"4564","Boerhavia acutifolia"
"4566","Boerhavia alamosana"
"4568","Boerhavia alata"
"4577","Boerhavia anisophylla"
"4631","Boerhavia bracteosa"
"4632","Boerhavia brandegeei"
"4649","Boerhavia caribaea"
"4653","Boerhavia chrysantha"
"4654","Boerhavia ciliata"
"4661","Boerhavia coccinea"
"5463","Boerhavia cordobensis"
"5513","Boerhavia coulteri"
"5728","Boerhavia diffusa"
"6215","Boerhavia discolor"
"6217","Boerhavia erecta"
"7146","Boerhavia excelsa"
"7147","Boerhavia glabrata"
"7158","Boerhavia gracillima"
"7877","Boerhavia herbstii"
"7890","Boerhavia hirsuta"
"7918","Boerhavia hitchcockii"
"7919","Boerhavia lateriflora"
"7920","Boerhavia linearifolia"
"7972","Boerhavia maculata"
"7973","Boerhavia megaptera"
"8026","Boerhavia octandra"
"8028","Boerhavia organensis"
"8029","Boerhavia plumbaginea"
"8030","Boerhavia procumbens"
"8031","Boerhavia pulchella"
"8071","Boerhavia purpurascens"
"8218","Boerhavia ramulosa"
"8220","Boerhavia repens"
"8285","Boerhavia rosei"
"8288","Boerhavia scandens"
"8646","Boerhavia sonorae"
"8649","Boerhavia spicata"
"8859","Boerhavia tetrandra"
"8861","Boerhavia traubae"
"8868","Boerhavia triquetra"
"9210","Boerhavia tuberosa"
"9256","Boerhavia verbenacea"
"9265","Boerhavia virgata"
"9266","Boerhavia viscosa"
"9268","Boerhavia watsonii"
"9346","Boerhavia weberbaueri"
"9351","Boerhavia wrightii"
"9526","Boerhavia xanti"
"9544","Boerhavia xantii"
"9548","Boldoa lanceolata"
"9549","Bougainvillea arborea"
"9554","Bougainvillea berberidifolia"
"9573","Bougainvillea buttiana"
"9638","Bougainvillea campanulata"
"9685","Bougainvillea glabra"
"9869","Bougainvillea graciliflora"
"9872","Bougainvillea herzogiana"
"9873","Bougainvillea infesta"
"9909","Bougainvillea malmeana"
"9913","Bougainvillea modesta"
"10040","Bougainvillea pachyphylla"
"10058","Bougainvillea peruviana"
"10100","Bougainvillea pomacea"
"10103","Bougainvillea praecox"
"10175","Bougainvillea spectabilis"
"10292","Bougainvillea spinosa"
"10355","Bougainvillea stipitata"
"10551","Bougainvillea trollii"
"10552","Caribea litoralis"
"10553","Cephalotomandra fragrans"
"10555","Cephalotomandra panamensis"
"10556","Colignonia glomerata"
"10619","Colignonia ovalifolia"
"10684","Colignonia parviflora"
"10784","Colignonia pentoptera"
"10806","Colignonia rufopilosa"
"10880","Colignonia scandens"
"10958","Commicarpus brandegeei"
"10960","Commicarpus coctoris"
"10961","Commicarpus praetermissus"
"10962","Cryptocarpus pyriformis"
"11035","Cuscatlania vulcanicola"
"11038","Cyphomeris crassifolia"
"11082","Cyphomeris gypsophiloides"
"11167","Ercilla spicata"
"11186","Ercilla syncarpellata"
"11193","Flueckigera peruviana"
"11198","Fremontia californica"
"11205","Fremontia napensis"
"11206","Gallesia integrifolia"
"12032","Grajalesia fasciculata"
"12052","Guapira acuminata"
"12056","Guapira amacurensis"
"12059","Guapira areolata"
"12095","Guapira asperula"
"12107","Guapira bolivarensis"
"12113","Guapira boliviana"
"12170","Guapira brevipetiolata"
"12175","Guapira cafferiana"
"12184","Guapira campestris"
"12198","Guapira combretiflora"
"12199","Guapira costaricana"
"12431","Guapira cuspidata"
"12481","Guapira discolor"
"12580","Guapira eggersiana"
"12675","Guapira ferruginea"
"12691","Guapira fragrans"
"12797","Guapira glabriflora"
"12800","Guapira globosa"
"12801","Guapira graciliflora"
"12928","Guapira guianensis"
"12935","Guapira harrisiana"
"12936","Guapira hasslerana"
"12939","Guapira hassleriana"
"12951","Guapira hirsuta"
"13020","Guapira hoehnei"
"13026","Guapira insularis"
"13027","Guapira kanukuensis"
"13034","Guapira laxiflora"
"13071","Guapira leonis"
"13074","Guapira ligustrifolia"
"13078","Guapira loefgrenii"
"13079","Guapira longicuspis"
"13084","Guapira luteovirens"
"13088","Guapira marcano-bertii"
"13090","Guapira microphylla"
"13112","Guapira myrtiflora"
"13169","Guapira neblinensis"
"13171","Guapira noxia"
"13321","Guapira obtusata"
"13428","Guapira obtusiloba"
"13430","Guapira opposita"
"14300","Guapira pacurero"
"14320","Guapira paraguayensis"
"14327","Guapira pernambucensis"
"14459","Guapira petenensis"
"14469","Guapira psammophila"
"14479","Guapira pubescens"
"14488","Guapira reticulata"
"14490","Guapira riedeliana"
"14500","Guapira rotundifolia"
"14503","Guapira rufescens"
"14508","Guapira rusbyana"
"14510","Guapira salicifolia"
"14549","Guapira sancarlosiana"
"14557","Guapira sipapoana"
"14558","Guapira snethlagei"
"14559","Guapira suborbiculata"
"14566","Guapira suspensa"
"14569","Guapira tomentosa"
"14585","Guapira uberrima"
"14592","Guapira uleana"
"14596","Guapira venosa"
"14625","Guapira witsbergeri"
"14636","Hesperonia aspera"
"14637","Hesperonia limosa"
"14638","Hilleria latifolia"
"14748","Hilleria longifolia"
"14757","Hilleria nemoralis"
"14758","Hilleria secunda"
"14805","Ledenbergia macrantha"
"14825","Ledenbergia peruviana"
"14838","Ledenbergia seguierioides"
"14843","Leucaster caniflorus"
"14860","Microtea bahiensis"
"14862","Microtea debilis"
"15077","Microtea glochidiata"
"15099","Microtea longebracteata"
"15101","Microtea maypurensis"
"15167","Microtea paniculata"
"15386","Microtea papillosa"
"15389","Microtea portoricensis"
"15393","Microtea scabrida"
"15559","Microtea sulcicaulis"
"15566","Microtea tenuifolia"
"15591","Mirabilis acuta"
"15593","Mirabilis aggregata"
"15611","Mirabilis albida"
"16555","Mirabilis alipes"
"16665","Mirabilis austrotexana"
"16678","Mirabilis bigelovii"
"16719","Mirabilis bracteosa"
"16739","Mirabilis californica"
"16767","Mirabilis campanulata"
"16768","Mirabilis ciliatifolia"
"16770","Mirabilis coccinea"
"17031","Mirabilis comata"
