scrubbed_family,scrubbed_species_binomial,latitude,longitude,date_collected,datasource,custodial_institution_codes,collection_code
Nyctaginaceae,Abronia alpina,NA,NA,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia alpina,NA,NA,1892-08-01,GBIF,US,Botany
Nyctaginaceae,Abronia alpina,36.227815,-118.796611,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia alpina,NA,NA,1896-07-31,GBIF,S,S-Vascular
Nyctaginaceae,Abronia alpina,36.349785,-118.253334,NA,GBIF,UCJEPS,JEPS
Nyctaginaceae,Abronia alpina,36.353962,-118.262581,NA,GBIF,UCJEPS,JEPS
Nyctaginaceae,Abronia alpina,36.208046,-118.167503,NA,GBIF,UCJEPS,UC
Nyctaginaceae,Abronia alpina,36.208046,-118.167503,NA,GBIF,UCJEPS,UC
Nyctaginaceae,Abronia alpina,36.349785,-118.253334,NA,GBIF,UCJEPS,JEPS
Nyctaginaceae,Abronia alpina,36.333397,-118.219917,NA,GBIF,UCJEPS,JEPS
Nyctaginaceae,Abronia alpina,NA,NA,1896-08-01,GBIF,CAS,BOT
Nyctaginaceae,Abronia ameliae,26.926476,-97.616195,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia ameliae,NA,NA,5/11/1969,ARIZ,NA,NA
Nyctaginaceae,Abronia ameliae,26.85908333,-98.37652778,3/21/2007,TEX,TEX,TEX
Nyctaginaceae,Abronia ameliae,NA,NA,5/1/1969,GBIF,Herbarium,ARIZ
Nyctaginaceae,Abronia ameliae,26.396343,-98.18482,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia ameliae,NA,NA,2/29/1944,ARIZ,NA,NA
Nyctaginaceae,Abronia ameliae,27.427354,-97.661874,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia ameliae,NA,NA,2/1/1944,GBIF,Herbarium,ARIZ
Nyctaginaceae,Abronia ameliae,27.048922,-98.678037,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia ameliae,26.574537,-98.73328,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia ameliae,28.351117,-98.126619,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia ameliae,27.041691,-98.211783,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia ameliae,NA,NA,3/19/1942,GBIF,S,S-Vascular
Nyctaginaceae,Abronia ameliae,NA,NA,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia ammophila,NA,NA,1899-08-23,GBIF,US,Botany
Nyctaginaceae,Abronia ammophila,NA,NA,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia ammophila,42.761068,-109.919619,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia angustifolia,32.2529,-109.832,9/8/1914,ARIZ,NA,NA
Nyctaginaceae,Abronia angustifolia,33.4214,-112.341,6/1/1926,GBIF,Herbarium,ARIZ
Nyctaginaceae,Abronia angustifolia,31.40833,-106.46666,10/28/1972,MO,MO,NA
Nyctaginaceae,Abronia angustifolia,33.0767,-111.7393,3/1/1902,GBIF,Herbarium,ARIZ
Nyctaginaceae,Abronia angustifolia,31.76932,-106.241145,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia angustifolia,NA,NA,NA,GBIF,Herbarium,ARIZ
Nyctaginaceae,Abronia angustifolia,NA,NA,4/22/1936,ARIZ,NA,NA
Nyctaginaceae,Abronia angustifolia,33.6981,-112.2921,3/30/1930,ARIZ,NA,NA
Nyctaginaceae,Abronia angustifolia,NA,NA,6/21/1960,ARIZ,NA,NA
Nyctaginaceae,Abronia angustifolia,NA,NA,4/16/1927,ARIZ,NA,NA
Nyctaginaceae,Abronia angustifolia,NA,NA,4/22/1936,ARIZ,NA,NA
Nyctaginaceae,Abronia angustifolia,33.342656,-112.490919,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia angustifolia,32.05467,-104.46183,5/1/2005,GBIF,Herbarium,ARIZ
Nyctaginaceae,Abronia angustifolia,NA,NA,10/4/1903,ARIZ,NA,NA
Nyctaginaceae,Abronia angustifolia,33.17969,-109.86059,4/1/1936,GBIF,Herbarium,ARIZ
Nyctaginaceae,Abronia angustifolia,32.8492,-109.7593,8/1/1908,ARIZ,NA,NA
Nyctaginaceae,Abronia angustifolia,NA,NA,4/12/1969,ARIZ,NA,NA
Nyctaginaceae,Abronia angustifolia,NA,NA,8/30/1975,MO,MO,NA
Nyctaginaceae,Abronia angustifolia,32.55894764,-104.4211759,5/26/1982,GBIF,UNM,Herb
Nyctaginaceae,Abronia angustifolia,NA,NA,10/10/1935,MO,MO,NA
Nyctaginaceae,Abronia angustifolia,NA,NA,6/29/1918,ARIZ,NA,NA
Nyctaginaceae,Abronia angustifolia,32.2529,-109.832,9/1/1914,GBIF,Herbarium,ARIZ
Nyctaginaceae,Abronia angustifolia,32.35279863,-106.8302999,1897-06-15,GBIF,US,Botany
Nyctaginaceae,Abronia angustifolia,NA,NA,5/12/1936,ARIZ,NA,NA
Nyctaginaceae,Abronia angustifolia,32.345226,-106.83238,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia angustifolia,33.34121,-112.59918,4/1/1998,GBIF,Herbarium,ARIZ
Nyctaginaceae,Abronia angustifolia,32.350178,-96.793045,NA,GBIF,USDA NRCS,USDA Plants
Nyctaginaceae,Abronia angustifolia,33.0882,-111.73682,4/1/1998,GBIF,Herbarium,ARIZ
